inn;name;region;okved_main;reg_date;revenue;revenue_year;source
7702770003;"АО ""ЦПЛ""";121170, город Москва, Поклонная ул, д. 3, этаж 3/помещ. 120;Деятельность по созданию и использованию баз данных и информационных ресурсов;31.08.2011;140 702 722 000 руб.+151%;2025;https://www.rusprofile.ru/
9718101499;"ООО ""Яндекс.Лавка""";123112, город Москва, 1-Й Красногвардейский проезд, д. 22 стр. 1, этаж 12 помещ. 12-40;Разработка компьютерного программного обеспечения;15.05.2018;110 269 708 000 руб.+64%;2025;https://www.rusprofile.ru/
7708119944;"ООО ИК ""Сибинтек""";117152, город Москва, Загородное ш., д. 1 к. 1;Деятельность по созданию и использованию баз данных и информационных ресурсов;26.08.1999;56 565 923 000 руб.+9%;2025;https://www.rusprofile.ru/
7707767501;"ООО ""МВС""";115432, город Москва, пр-кт Андропова, д. 18 к. 9, этаж 16 помещ. 35;Разработка компьютерного программного обеспечения;11.01.2012;51 373 406 000 руб.+58%;2025;https://www.rusprofile.ru/
9705118142;"ООО ""Инстамарт Сервис""";142111, город Москва, г Щербинка, ул Кутузова, д. 12;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;22.05.2018;46 790 369 000 руб.+36%;2025;https://www.rusprofile.ru/
7701793872;"ООО ""Ланит-Интеграция""";125009, город Москва, Газетный пер, д. 9 стр. 7, эт 1 пом I ком 4;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;28.07.2008;42 379 537 000 руб.+22%;2025;https://www.rusprofile.ru/
7702404085;"ООО ""Рубитех""";129085, город Москва, ул Годовикова, д. 9 стр. 17, этаж 8 помещ. 5;Деятельность консультативная и работы в области компьютерных технологий;25.07.2016;38 099 861 000 руб.+73%;2025;https://www.rusprofile.ru/
7734358970;"АО ""РАСУ""";115230, город Москва, Каширское ш., д. 3к2стр16, этаж 6, каб. 6.02;Деятельность консультативная и работы в области компьютерных технологий;28.07.2015;37 070 261 000 руб.+81%;2025;https://www.rusprofile.ru/
9705120864;"АО ""Точка""";119002, город Москва, Староконюшенный пер, д. 10;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;04.07.2018;34 605 229 000 руб.+36%;2025;https://www.rusprofile.ru/
7743180892;"ООО ""ТЦР""";127287, город Москва, ул Хуторская 2-Я, д. 38а стр. 26, этаж/помещ 4/VIII ком. 10;Разработка компьютерного программного обеспечения;09.11.2016;32 927 061 000 руб.+84%;2025;https://www.rusprofile.ru/
7706729736;"АО ""Гринатом""";119017, город Москва, ул. Большая Ордынка, д.24;Разработка компьютерного программного обеспечения;18.12.2009;30 036 700 000 руб.+14%;2025;https://www.rusprofile.ru/
7703475603;"ООО ""Озон Технологии""";123112, город Москва, Пресненская наб., д. 10, помещ. I, этаж 41, комн. 7;Разработка компьютерного программного обеспечения;13.05.2019;27 137 469 000 руб.+46%;2025;https://www.rusprofile.ru/
7704329852;"ООО ""Сервис-Телематика""";127254, город Москва, Огородный проезд, д. 16/1 стр. 4, помещ. 205;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;22.09.2015;25 422 247 000 руб.+192%;2025;https://www.rusprofile.ru/
7725629159;"АО ""НВБС""";127018, город Москва, Складочная ул, д. 3 стр. 1;Деятельность консультативная и работы в области компьютерных технологий;13.02.2008;23 949 435 000 руб.+36%;2025;https://www.rusprofile.ru/
5003150437;"ООО ""ВБ Тех""";142181, Московская область, д Коледино, тер. Индустриальный Парк Коледино, д. 6 стр. 1;Разработка компьютерного программного обеспечения;25.04.2022;23 392 760 000 руб.+245%;2025;https://www.rusprofile.ru/
9710089440;"ООО ""Авито Тех""";125196, город Москва, Лесная ул, д. 7, этаж 5 ком. 1-39;Разработка компьютерного программного обеспечения;04.05.2021;22 656 333 000 руб.+93%;2025;https://www.rusprofile.ru/
7743773042;"ООО ""Норникель Спутник""";125130, город Москва, Старопетровский пр-д, д. 11 к. 2, ком. 511;Деятельность по сопровождению компьютерных систем;17.03.2010;21 964 684 000 руб.+19%;2025;https://www.rusprofile.ru/
7736632467;"АО ""Сбертех""";117105, город Москва, Новоданиловская наб., д.10;Разработка компьютерного программного обеспечения;06.07.2011;20 563 603 000 руб.+26%;2025;https://www.rusprofile.ru/
7704356648;"ООО ""РТК ИБ""";125009, город Москва, Никитский пер., д. 7 стр. 1, эт/пом/ком 2/I/58;Деятельность по управлению компьютерным оборудованием;11.05.2016;17 778 409 000 руб.+61%;2025;https://www.rusprofile.ru/
7605016030;"ООО ""Компания ""Тензор""";150001, Ярославская область, город Ярославль, Московский пр-кт, д.12;Разработка компьютерного программного обеспечения;10.06.1999;17 469 325 000 руб.+27%;2025;https://www.rusprofile.ru/
5030065734;"ООО ""РТК ИТ""";108811, город Москва, км 22-Й (Киевское Ш.), двлд. 6 стр. 1, офис е434;Разработка компьютерного программного обеспечения;10.04.2009;17 252 756 000 руб.+30%;2025;https://www.rusprofile.ru/
9704161593;"ООО ""Яндекс Крауд""";119021, город Москва, ул Льва Толстого, д. 16, этаж 2 помещ/часть комнаты X/1;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;05.09.2022;17 247 579 000 руб.+80%;2025;https://www.rusprofile.ru/
7736663049;"ООО ""Сбербанк-Сервис""";127018, город Москва, ул Двинцев, д. 12 к. 1, помещ. 1/1;Деятельность консультативная и работы в области компьютерных технологий;08.08.2013;16 106 422 000 руб.+71%;2025;https://www.rusprofile.ru/
7710022410;"АО ""Гипротрубопровод""";119334, город Москва, ул. Вавилова, д.24 к.1;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;10.08.1994;15 901 196 000 руб.+10%;2025;https://www.rusprofile.ru/
7707507077;"ООО ""Платформикс""";127287, город Москва, ул Хуторская 2-Я, д. 38а стр. 15;Деятельность консультативная и работы в области компьютерных технологий;26.11.2003;15 816 837 000 руб.+27%;2025;https://www.rusprofile.ru/
7736279160;"ООО ""Облачные Технологии""";117312, город Москва, ул. Вавилова, д. 23 стр. 1, ком. n1.207;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;04.10.2016;15 603 744 000 руб.+76%;2025;https://www.rusprofile.ru/
7704869777;"ООО ""Ртитс""";127015, город Москва, Вятская ул, д. 27 стр. 16, этаж 2 пом I ком 16;Разработка компьютерного программного обеспечения;24.07.2014;14 702 345 000 руб.+3%;2025;https://www.rusprofile.ru/
7731642944;"ООО ""Телеком Интеграция""";117420, город Москва, ул Намёткина, д. 12а;Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая;25.01.2010;14 480 757 000 руб.+21%;2025;https://www.rusprofile.ru/
7736249247;"ООО ""Домклик""";121170, город Москва, Кутузовский пр-кт, д. 32 к. 1;Разработка компьютерного программного обеспечения;20.07.2015;13 939 137 000 руб.+13%;2025;https://www.rusprofile.ru/
9710053162;"ООО ""РТК ЦТ""";125284, город Москва, Ленинградский пр-кт, д. 35 стр. 1, этаж/помещ. 4/I ком. 49;Деятельность по созданию и использованию баз данных и информационных ресурсов;20.03.2018;13 646 398 000 руб.-42%;2025;https://www.rusprofile.ru/
4400001172;"ООО ""Совкомбанк Технологии""";143007, Московская область, г Одинцово, Вокзальная ул, д. 3б, помещ. 49 ком. 307;Разработка компьютерного программного обеспечения;15.02.2021;13 627 924 000 руб.+80%;2025;https://www.rusprofile.ru/
9717068640;"ООО ""ВУШ""";127006, город Москва, Долгоруковская ул, д. 21 стр. 1;Разработка компьютерного программного обеспечения;05.06.2018;13 329 927 000 руб.+25%;2025;https://www.rusprofile.ru/
7713479734;"ООО ""ВК-Ит""";143401, Московская область, г Красногорск, б-р Строителей, д. 4 к. 1, помещ. XXV ком. 32,34;Разработка компьютерного программного обеспечения;19.01.2021;13 281 118 000 руб.+32%;2025;https://www.rusprofile.ru/
5042117602;"ООО ""Экспертстройпроект""";129344, город Москва, Енисейская ул., д. 1 стр. 1, эт/пом 4/422;Разработка компьютерного программного обеспечения;01.03.2011;12 800 310 000 руб.-30%;2025;https://www.rusprofile.ru/
9725070121;"ООО ""Цифровые Технологии и Платформы""";115054, город Москва, Дубининская ул, д. 57 стр. 1, помещ. 12;Разработка компьютерного программного обеспечения;22.12.2021;12 491 523 000 руб.+57%;2025;https://www.rusprofile.ru/
7743282541;"АО ""ДЦОА""";115114, город Москва, Кожевнический проезд, д. 1;Разработка компьютерного программного обеспечения;16.11.2018;12 423 632 000 руб.+170%;2025;https://www.rusprofile.ru/
7713488827;"ООО ""СМ Лаб""";127422, город Москва, Тимирязевская ул, д. 1, этаж 4 ком. 4.с.2;Разработка компьютерного программного обеспечения;25.04.2022;12 252 435 000 руб.+41%;2025;https://www.rusprofile.ru/
7703282175;"АО ""Ситроникс Ай Ти""";109316, город Москва, Волгоградский пр-кт, д. 32 к. 31, этаж 3 ком. W321;Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность;19.07.2001;11 976 348 000 руб.+21%;2025;https://www.rusprofile.ru/
7706673610;"ООО ""БФТ""";308001, Белгородская область, город Белгород, пл. Литвинова, д.9, помещение 1,2,3,4,5,7,8;Разработка компьютерного программного обеспечения;06.11.2007;11 306 290 000 руб.+25%;2025;https://www.rusprofile.ru/
5047053920;"АО ""РТ Лабс""";141402, Московская область, город Химки, Пролетарская ул, д. 23, ком. 101;Разработка компьютерного программного обеспечения;01.04.2003;10 932 706 000 руб.+40%;2025;https://www.rusprofile.ru/
9704107589;"ООО ""Яндекс.Доставка Холдинг""";123112, город Москва, 1-Й Красногвардейский проезд, д. 22 стр. 1, этаж 12 помещ. 12-40;Разработка компьютерного программного обеспечения;15.12.2021;10 880 547 000 руб.+34%;2025;https://www.rusprofile.ru/
7722531204;"АО ""Текон-Инжиниринг""";123423, город Москва, 3-Я Хорошёвская ул., д. 20;Разработка компьютерного программного обеспечения;22.11.2004;10 627 820 000 руб.+8%;2025;https://www.rusprofile.ru/
7714415613;"ООО ""ВК Цифровые Технологии""";125167, город Москва, Ленинградский пр-кт, д. 39 стр. 79, этаж 17;Разработка компьютерного программного обеспечения;29.09.2017;10 473 120 000 руб.+33%;2025;https://www.rusprofile.ru/
5027281502;"ООО ""СМТ-Строй""";140054, Московская область, г Котельники, мкр. Ковровый, д. 37, этаж 4 помещ. 404;Деятельность по созданию и использованию баз данных и информационных ресурсов;29.10.2019;10 132 529 000 руб.+61%;2025;https://www.rusprofile.ru/
7713728490;"ООО ""Философия.ИТ""";107023, город Москва, ул. Измайловский Вал, д. 30;Разработка компьютерного программного обеспечения;13.05.2011;10 051 899 000 руб.+1%;2025;https://www.rusprofile.ru/
